正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
肇事致人傷害逃逸罪,64,,肇事致人傷害逃逸罪 | 前段之肇事致人傷害逃逸罪 | 前段之過失傷害罪及同法第185條之4第1項前段之肇事致人傷害逃逸罪
行確有犯罪,62,,行確有犯罪
販賣第三級毒品罪,56,,販賣第三級毒品罪 | 販賣第三級毒品未遂罪 | 幫助販賣第三級毒品罪
前四條之罪,56,,前四條之罪
詐欺犯罪,56,,詐欺犯罪 | 刑法第339條之4之詐欺犯罪
第19條、第20條之罪,54,,第19條、第20條之罪
行使偽造特種文書罪,53,,行使偽造特種文書罪
侵入住宅竊盜罪,52,,侵入住宅竊盜罪 | 刑法第321條第1項第1款侵入住宅竊盜罪 | 刑法第321條第1項第1款之侵入住宅竊盜罪
圖利媒介性交罪,50,,圖利媒介性交罪 | 前段之圖利媒介性交罪 | 刑法第231條第1項前段之圖利媒介性交罪
侵占罪,47,,侵占罪
妨害公務執行罪,46,,妨害公務執行罪 | 妨害公務執行罪及同法第277條第1項之傷害罪 | 前段之侮辱公務員罪及同法第135條第1項之妨害公務執行罪
圖利供給賭博場所罪,44,,前段之圖利供給賭博場所罪及同條後段之圖利聚眾賭博罪 | 前段之圖利供給賭博場所罪 | 圖利供給賭博場所罪
以網際網路對公眾散布而犯詐欺取財罪,43,,以網際網路對公眾散布而犯詐欺取財罪 | 刑法第339條之4第1項第3款之以網際網路對公眾散布而犯詐欺取財罪 | 刑法第339條之4第1項第3款以網際網路對公眾散布而犯詐欺取財罪
如本院附表「罪,43,是,如本院附表「罪
隱匿特定犯罪所得之去向而依同法第14條第1項論處之洗錢罪,43,,三人以上共同犯詐欺取財罪及洗錢防制法第2條第2款隱匿特定犯罪所得之去向而依同法第14條第1項論處之洗錢罪 | 三人以上共同犯詐欺取財罪及修正前洗錢防制法第2條第2款隱匿特定犯罪所得之去向而依同法第14條第1項論處之洗錢罪 | 三人以上共同詐欺取財罪及洗錢防制法第2條第2款隱匿特定犯罪所得之去向而依同法第14條第1項論處之洗錢罪
施用毒品致不能安全駕駛動力交通工具罪,43,,施用毒品致不能安全駕駛動力交通工具罪
跟蹤騷擾罪,42,,跟蹤騷擾罪 | 跟蹤騷擾防制法第十八條第一項之跟蹤騷擾罪 | 跟蹤騷擾罪及同法第19條之違反保護令罪
