正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
規定所成立之違法收受存款罪,4,,規定所成立之違法收受存款罪
如附表一編號1至3、附表二編號1至10所示各罪,4,是,如附表一編號1至3、附表二編號1至10所示各罪
未經許可持有刀械罪,4,,未經許可持有刀械罪 | 槍砲彈藥刀械管制條例第14條第3項之未經許可持有刀械罪
非法執行醫療業務罪,4,,醫師法第二十八條前段之非法執行醫療業務罪 | 前段之非法執行醫療業務罪 | 非法執行醫療業務罪
三人共同犯詐欺取財罪,4,,三人共同犯詐欺取財罪
冒用政府機關及公務員名義詐欺取財罪,4,,冒用政府機關及公務員名義詐欺取財罪
規定之罪,4,,法人之其他從業人員因執行職務5年內再違反同法第44條規定之罪 | 法人之代表人因執行業務違反同法第57條第1款後段規定之罪 | 規定之罪
三人以上共同詐欺得利罪,4,,三人以上共同詐欺得利罪 | 三人以上共同詐欺得利未遂罪
結夥三人以上竊盜罪,4,,結夥三人以上竊盜罪
汽車駕駛人未領有駕駛執照駕車過失傷害罪,4,,汽車駕駛人未領有駕駛執照駕車過失傷害罪
過失致重傷罪,4,,過失致重傷罪 | 後段之過失致重傷罪
致令他人物品不堪用罪,4,,致令他人物品不堪用罪
踰越窗戶侵入住宅竊盜罪,4,,踰越窗戶侵入住宅竊盜罪
侵害著作財產權罪,4,,著作權法第九十一條第一項之侵害著作財產權罪 | 著作權法第九十一條之侵害著作財產權罪 | 著作權法第九十一條之一之侵害著作財產權罪
毀損債權罪,4,,毀損債權罪
買賣護照罪,4,,買賣護照罪 | 參與犯罪組織罪及護照條例第29條第1款之買賣護照罪 | 參與犯罪組織罪嫌及護照條例第29條第1款之買賣護照罪
施用毒品犯行之罪,4,,施用毒品犯行之罪
盜用他人電信設備通信罪,4,,盜用他人電信設備通信罪 | 電信法第五十六條第一項之盜用他人電信設備通信罪
以詐術使開標發生不正確結果罪,4,,政府採購法第八十七條第三項之以詐術使開標發生不正確結果罪 | 以詐術使開標發生不正確結果罪 | 政府採購法第八十七條第三項以詐術使開標發生不正確結果罪
無律師證書意圖營利而辦理訴訟事件罪,4,,無律師證書意圖營利而辦理訴訟事件罪 | 無律師證書意圖營利而辦理訴訟事件罪及刑法第339條第1項之詐欺取財罪
持有純質淨重五公克以上之第三級毒品罪,4,,持有純質淨重五公克以上之第三級毒品罪
服用毒品尿液所含代謝物達行政院公告之品項及濃度值以上仍駕駛動力交通工具罪,4,,服用毒品尿液所含代謝物達行政院公告之品項及濃度值以上仍駕駛動力交通工具罪
尿液或血液所含毒品達行政院公告之品項及濃度值以上而駕駛動力交通工具罪,4,,尿液或血液所含毒品達行政院公告之品項及濃度值以上而駕駛動力交通工具罪
罪所用設備對境內之人犯罪,4,是,罪所用設備對境內之人犯罪
罪組織而犯上開複合手段之罪,4,是,罪組織而犯上開複合手段之罪
行取得犯罪,4,,行取得犯罪
放火燒燬他人所有物罪,4,,放火燒燬他人所有物罪
、第216條之行使偽造私文書罪,4,,刑法第210條、第216條之行使偽造私文書罪 | 有刑法第210條、第216條之行使偽造私文書罪 | 行僅係犯刑法第210條、第216條之行使偽造私文書罪
本條例詐欺犯罪,4,,本條例詐欺犯罪
販賣第四級毒品罪,4,,販賣第四級毒品未遂罪
如附表四編號1至11主文欄所示之拾壹罪,4,是,如附表四編號1至11主文欄所示之拾壹罪
一般洗錢罪等罪,4,,後段之一般洗錢罪等罪 | 後段之幫助一般洗錢罪等罪 | 一般洗錢罪等罪
3人以上共犯詐欺取財等罪,4,,刑法第339條之4第1項第2款之3人以上共犯詐欺取財等罪 | 本件刑法第339條之4第1項第2款之3人以上共犯詐欺取財等罪
罪所得部分：1、按犯罪,3,是,罪所得部分：1、按犯罪
罪行為人之犯罪,3,是,罪行為人之犯罪
透過網路非法販賣侵害商標權之商品罪,3,,商標法第九十七條後段透過網路非法販賣侵害商標權之商品罪
非法經銀行營收受存款業務罪,3,,非法經銀行營收受存款業務罪
、第339條第1項幫助詐欺取財罪,3,,刑法第30條第1項前段、第339條第1項幫助詐欺取財罪 | 刑法第30條、第339條第1項幫助詐欺取財罪
規定而犯同法第14條第1項之一般洗錢罪,3,,詐欺取財罪及違反洗錢防制法第2條第2款規定而犯同法第14條第1項之一般洗錢罪
意圖供行使之用而偽造有價證券罪,3,,意圖供行使之用而偽造有價證券罪
以網際網路供人觀覽猥褻影像罪,3,,以網際網路供人觀覽猥褻影像罪
結夥三人以上攜帶兇器踰越牆垣竊盜罪,3,,結夥三人以上攜帶兇器踰越牆垣竊盜罪
持有第二級毒品純質淨重20公克以上之罪,3,,持有第二級毒品純質淨重20公克以上之罪
罪非難評價、各行為彼此間之偶發性、與被告前科之關聯性、各行為所侵害法益之專屬性或同一性、數罪,3,是,罪非難評價、各行為彼此間之偶發性、與被告前科之關聯性、各行為所侵害法益之專屬性或同一性、數罪
本件數罪,3,,本件數罪
非法為業務活動罪,3,,臺灣地區與大陸地區人民關係條例第九十三條之二第一項前段之非法為業務活動罪 | 前段之非法為業務活動罪
商業負責人填製不實會計憑證罪,3,,商業負責人填製不實會計憑證罪 | 商業負責人填製不實會計憑證罪及修正前稅捐稽徵法第43條第1項之幫助他人逃漏稅捐罪
毁損他人物品罪,3,,毁損他人物品罪
傷害致人重傷罪,3,,傷害致人重傷罪
利用職務上機會詐取財物罪,3,,利用職務上機會詐取財物罪
罪所用之物：1、按供犯罪,3,是,罪所用之物：1、按供犯罪
：按共同實施犯罪,3,,：按共同實施犯罪
商品虛偽標記罪,3,,商品虛偽標記罪
以網際網路張貼之方式供人觀覽猥褻影像罪,3,,以網際網路張貼之方式供人觀覽猥褻影像罪 | 以網際網路張貼之方式供人觀覽猥褻影像罪及同法第310條第2項加重誹謗罪
罪所得與犯罪,3,是,罪所得與犯罪
第4條、第6條之罪,3,,第4條、第6條之罪
其中之輕罪,3,,其中之輕罪
納稅義務人以不正當方法逃漏稅捐罪,3,,填製不實會計憑證罪以及修正前稅捐稽徵法第43條第1項之幫助納稅義務人以不正當方法逃漏稅捐罪 | 幫助納稅義務人以不正當方法逃漏稅捐罪 | 修正前稅捐稽徵法第四十三條第一項之幫助納稅義務人以不正當方法逃漏稅捐罪
利用不正方法致生不實罪,3,,利用不正方法致生不實罪及刑法第214條之使公務員登載不實罪 | 利用不正方法致生不實罪
散布侵害著作財產權之重製物罪,3,,散布侵害著作財產權之重製物罪 | 著作權法第九十一條之一第二項之散布侵害著作財產權之重製物罪
如附表四編號1至7主文欄所示之柒罪,3,是,如附表四編號1至7主文欄所示之柒罪
過失輸入禁藥罪,3,,過失輸入禁藥罪
非法以電腦相關設備製作不實財產權得喪紀錄得利罪,3,,非法以電腦相關設備製作不實財產權得喪紀錄得利罪
踰越牆垣竊盜罪,3,,踰越牆垣竊盜罪
罪類型變更之個別犯罪,3,是,罪類型變更之個別犯罪
非法經營期貨經理事業及其他期貨服務事業罪,3,,非法經營期貨經理事業及其他期貨服務事業罪 | 期貨交易法第一百十二條第五項第五款之非法經營期貨經理事業及其他期貨服務事業罪
詐偽罪,3,,詐偽罪 | 證券交易法第一百七十一條第一項第一款之詐偽罪 | 證券投資信託及顧問法第一百零五條第一項之詐偽罪
如附表四編號1至25主文欄所示之貳拾伍罪,3,是,如附表四編號1至25主文欄所示之貳拾伍罪
貳拾伍罪,3,,貳拾伍罪
如本判決附表「罪,3,是,如本判決附表「罪
侵入住居罪,3,,侵入住居罪
期約對價提供帳戶罪,3,,洗錢防制法第十五條之二第三項第一款之期約對價提供帳戶罪 | 期約對價提供帳戶罪
罪防制條例所稱犯罪,3,是,罪防制條例所稱犯罪
商業負責人明知為不實之事項而填製會計憑證罪,3,,商業負責人明知為不實之事項而填製會計憑證罪及修正前稅捐稽徵法第43條第1項之幫助納稅義務人逃漏稅捐罪 | 商業負責人明知為不實之事項而填製會計憑證罪
納稅義務人逃漏稅捐罪,3,,商業負責人明知為不實之事項而填製會計憑證罪及修正前稅捐稽徵法第43條第1項之幫助納稅義務人逃漏稅捐罪 | 幫助納稅義務人逃漏稅捐罪
侵入有人居住之建築物竊盜罪,3,,侵入有人居住之建築物竊盜罪
無故竊錄他人身體隱私部位罪,3,,無故竊錄他人身體隱私部位罪 | 無故竊錄他人身體隱私部位罪及同法第319條之1第1項無故攝錄他人性影像罪
肇事逃逸罪,3,,前段之肇事逃逸罪 | 肇事逃逸罪
妨害兵役罪,3,,妨害兵役罪
於公共場所非法攜帶刀械罪,3,,於公共場所非法攜帶刀械罪
於公共場所未經許可攜帶刀械罪,3,,於公共場所未經許可攜帶刀械罪
持有第二級毒品純質淨重20公克以上罪,3,,持有第二級毒品純質淨重20公克以上罪
駕駛動力交通工具肇事致人傷害逃逸罪,3,,駕駛動力交通工具肇事致人傷害逃逸罪
以詐術非法收集他人金融帳戶罪,3,,以詐術非法收集他人金融帳戶罪 | 三人以上共同詐欺取財罪及洗錢防制法第21條第1項第5款之以詐術非法收集他人金融帳戶罪
結夥三人以上攜帶兇器強盜罪,3,,結夥三人以上攜帶兇器強盜罪
毀棄損壞罪,3,,毀棄損壞罪 | 竊盜罪及同法第354條之毀棄損壞罪
行之罪,3,,行之罪
貪污治罪,3,,貪污治罪
意圖販賣而透過網路方式陳列侵害商標權之商品罪,3,,後段之意圖販賣而透過網路方式陳列侵害商標權之商品罪 | 商標法第九十七條後段之意圖販賣而透過網路方式陳列侵害商標權之商品罪
踰越門窗竊盜罪,3,,踰越門窗竊盜罪
非法多層次傳銷罪,3,,前段之非法經營銀行收受存款業務罪及多層次傳銷管理法第29條第1項之非法多層次傳銷罪 | 規定而犯同法第29條第1項非法多層次傳銷罪 | 多層次傳銷管理法第二十九條第一項之非法多層次傳銷罪
失火燒燬物品罪,3,,刑法第一百七十五條第三項之失火燒燬物品罪
3人以上共犯之加重詐欺取財罪,3,,3人以上共犯之加重詐欺取財罪
違反同法第二十條第一項規定利用個人資料罪,3,,個人資料保護法第四十一條之違反同法第二十條第一項規定利用個人資料罪
侵入有人居住建築物竊盜罪,3,,侵入有人居住建築物竊盜罪 | 刑法第321條第1項第1款之侵入有人居住建築物竊盜罪
行經法院論罪,3,,行經法院論罪
恐嚇得利罪,3,,恐嚇得利罪 | 恐嚇得利未遂罪
意圖販賣而持有第一級毒品罪,3,,意圖販賣而持有第一級毒品罪
行所犯洗錢罪,3,,行所犯洗錢罪
意圖販賣而持有第三級毒品而混合二種以上毒品罪,3,,意圖販賣而持有第三級毒品而混合二種以上毒品罪
攜帶兇器強盜罪,3,,攜帶兇器強盜罪 | 攜帶兇器強盜未遂罪
洗錢等罪,3,,洗錢等罪 | 違反同法第2條第2款之洗錢等罪 | 後段之幫助洗錢等罪
如附表一所示貳罪,3,是,如附表一所示貳罪
三人以上詐欺取財罪,3,,三人以上詐欺取財罪
過失傷害致重傷罪,3,,後段之過失傷害致重傷罪 | 後段之過失傷害致重傷罪及同法第185條之4第1項後段之肇事致人重傷逃逸罪
罪所得屬於犯罪,3,是,罪所得屬於犯罪
使公務員登載不實文書罪,3,,使公務員登載不實文書罪 | 圖利使大陸地區人民非法進入臺灣地區罪及刑法第214條之使公務員登載不實文書罪
攜帶兇器侵入住宅竊盜罪,3,,攜帶兇器侵入住宅竊盜未遂罪 | 攜帶兇器侵入住宅竊盜罪
非常規交易及同條項第3款之特別背信罪,3,,非常規交易及同條項第3款之特別背信罪
罪所得扣除和解金額之差額部分等未實際賠償之犯罪,3,是,罪所得扣除和解金額之差額部分等未實際賠償之犯罪
罪事實、罪,3,是,罪事實、罪
散布猥褻影像罪,3,,散布猥褻影像罪 | 散布少年性影像罪及刑法第235條第1項散布猥褻影像罪
偽造私文書罪,3,,偽造私文書罪
行論以參與犯罪,3,,行論以參與犯罪
行與參與犯罪,3,,行與參與犯罪
借用他人名義及證件投標罪,3,,前段之借用他人名義及證件投標罪 | 政府採購法第八十七條第五項前段之借用他人名義及證件投標罪
容許他人借用本人名義及證件參加投標罪,3,,後段之容許他人借用本人名義及證件參加投標罪 | 政府採購法第八十七條第五項後段之容許他人借用本人名義及證件參加投標罪
洗錢財物未達新臺幣一億元之洗錢罪,3,,三人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢財物未達新臺幣一億元之洗錢罪 | 三人以上共同詐欺取財罪及修正後洗錢防制法第19條第1項後段之洗錢財物未達新臺幣一億元之洗錢罪
行部分具有想像競合犯之裁判上一罪,3,,行部分具有想像競合犯之裁判上一罪
之二犯罪,3,,之二犯罪
附表二編號1、2「罪,3,是,附表二編號1、2「罪
以不正方法由收費設備得財產上不法之利益罪,3,,以不正方法由收費設備得財產上不法之利益罪
本件詐欺犯罪,3,,本件詐欺犯罪
行所犯上開行使偽造私文書、三人以上共同詐欺取財罪,3,,行所犯上開行使偽造私文書、三人以上共同詐欺取財罪
行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪,3,,行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同詐欺取財罪
本件刑法第339之4第1項第2款之罪,3,,本件刑法第339之4第1項第2款之罪
意圖供行使之用而攜帶兇器在公共場所聚集三人以上首謀施強暴罪,3,,意圖供行使之用而攜帶兇器在公共場所聚集三人以上首謀施強暴罪
意圖供行使之用而攜帶兇器在公共場所聚集三人以上施強暴在場助勢罪,3,,意圖供行使之用而攜帶兇器在公共場所聚集三人以上施強暴在場助勢罪
使公務員登載不實罪（共1罪,3,,使公務員登載不實罪（共1罪
駕駛動力交通工具而尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上之罪,3,,駕駛動力交通工具而尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上之罪
意圖營利媒介外國人非法為他人工作罪,3,,意圖營利媒介外國人非法為他人工作罪
故意遺漏會計事項不為記錄致使財務報表發生不實結果罪,3,,故意遺漏會計事項不為記錄致使財務報表發生不實結果罪 | 商業會計法第七十一條第四款之故意遺漏會計事項不為記錄致使財務報表發生不實結果罪
加重詐欺取財及洗錢罪,3,,加重詐欺取財及洗錢罪
恐嚇公眾等罪,3,,恐嚇公眾等罪
以網際網路對公眾散布而犯詐欺得利罪,3,,以網際網路對公眾散布而犯詐欺得利罪
無故以錄影方法攝錄他人性影像者罪,3,,無故以錄影方法攝錄他人性影像者罪
私運管制物品等罪,3,,私運管制物品等罪
同法之一般洗錢罪,3,,同法之一般洗錢罪
減輕：被告幫助他人犯詐欺取財罪,3,,減輕：被告幫助他人犯詐欺取財罪
無故變更他人電腦相關設備之電磁紀錄罪,3,,非法由收費設備取財罪及同法第359條之無故變更他人電腦相關設備之電磁紀錄罪 | 無故變更他人電腦相關設備之電磁紀錄罪 | 無故變更他人電腦相關設備之電磁紀錄罪及同法第339條之3第1項之非法以電腦相關設備製作不實財產權得喪變更紀錄取財罪
駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上之罪,3,,駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上之罪 | 刑法第185條之3第1項第1款之駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上之罪
三人以上共同詐欺取財且詐欺獲取之財物達500萬元罪,3,,前段之三人以上共同詐欺取財且詐欺獲取之財物達500萬元罪
尿液所含毒品及代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪,3,,尿液所含毒品及代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪
、第一項後段之洗錢罪,3,,洗錢防制法第十九條第二項、第一項後段之洗錢未遂罪
販賣仿冒商標商品罪,3,,前段之販賣仿冒商標商品罪 | 商標法第九十七條前段販賣仿冒商標商品罪 | 商標法第九十七條前段之販賣仿冒商標商品罪
不遵停工命令罪,3,,負責人犯同法第34條第1項後段之不遵停工命令罪 | 不遵停工命令罪 | 水污染防治法第三十四條第一項後段之不遵停工命令罪
行並有共犯以網際網路等傳播工具對公眾散布之加重詐欺取財罪,3,,行並有共犯以網際網路等傳播工具對公眾散布之加重詐欺取財罪
：按聚眾施強暴脅迫罪,3,,：按聚眾施強暴脅迫罪
同一罪,3,,同一罪
本件加重詐欺取財罪,3,,本件加重詐欺取財罪
如附表一至附表十八所示加重詐欺罪,3,是,如附表一至附表十八所示加重詐欺罪
罪事實1、第1頁第1行：江富山參與犯罪,2,是,罪事實1、第1頁第1行：江富山參與犯罪
行所生之全部犯罪,2,,行所生之全部犯罪
：被告所犯上開各罪,2,,：被告所犯上開各罪
非公務機關非法蒐集利用個人資料罪,2,,個人資料保護法第四十一條之非公務機關非法蒐集利用個人資料罪
從事財產犯罪,2,,從事財產犯罪
刑事犯罪,2,,刑事犯罪
結夥三人以上踰越安全設備竊盜罪,2,,結夥三人以上踰越安全設備竊盜罪
引誘使少年製造猥褻行為之電子訊號罪,2,,引誘使少年製造猥褻行為之電子訊號罪
汽車駕駛人行經行人穿越道不依規定讓行人優先通行過失致人於死罪,2,,汽車駕駛人行經行人穿越道不依規定讓行人優先通行過失致人於死罪
非法以電腦製作不實財產權得喪紀錄得利罪,2,,非法以電腦製作不實財產權得喪紀錄得利罪
在營區賭博罪,2,,前段在營區賭博罪 | 陸海空軍刑法第七十五條第一項前段在營區賭博罪
業務過失傷害罪,2,,前段之業務過失傷害罪 | 業務過失傷害罪
規定非法利用個人資料罪,2,,違反同法第20條第1項規定非法利用個人資料罪
第354條毀損罪,2,,竊盜罪及第354條毀損罪 | 傷害罪及第354條毀損罪
附表編號1至3所示之罪,2,是,附表編號1至3所示之罪
規定加重之說明：查被告前因犯不能安全駕駛致交通危險罪,2,,規定加重之說明：查被告前因犯不能安全駕駛致交通危險罪
（所犯施用第二級毒品、過失傷害及洗錢罪,2,,（所犯施用第二級毒品、過失傷害及洗錢罪
罪質除施用第二級毒品與本件犯行之罪,2,是,罪質除施用第二級毒品與本件犯行之罪
至第8條、第10條或第11條之罪,2,,毒品危害防制條例第4條至第8條、第10條或第11條之罪
罪行為人原持有供己犯同條項所列各罪,2,是,罪行為人原持有供己犯同條項所列各罪
同條項所列之罪,2,,同條項所列之罪
行時間相近、罪,2,,行時間相近、罪
以藥劑強制性交罪,2,,以欺瞞之方式使人施用第三級毒品罪及刑法第222條第1項第4款之以藥劑強制性交罪 | 以藥劑強制性交罪
意圖供製造毒品之用而栽種大麻罪,2,,意圖供製造毒品之用而栽種大麻罪
轉讓第二級毒品罪,2,,轉讓第二級毒品罪
行、侵害罪,2,,行、侵害罪
為動機、被告犯罪,2,,為動機、被告犯罪
圖利提供賭博場所罪,2,,前段之圖利提供賭博場所罪
利用職務機會詐取財物罪,2,,利用職務機會詐取財物罪
屆期不履行身心治療或輔導教育罪,2,,屆期不履行身心治療或輔導教育罪
圖利供給賭博場所罪與圖利聚眾賭博罪,2,,圖利供給賭博場所罪與圖利聚眾賭博罪
罪所得」欄所示犯罪,2,是,罪所得」欄所示犯罪
非法經營全權委託投資業務罪,2,,非法經營全權委託投資業務罪 | 證券投資信託及顧問法第一百零七條第一款之非法經營全權委託投資業務罪
行所犯上開行使偽造私文書、三人以上共同犯詐欺取財及洗錢等罪,2,,行所犯上開行使偽造私文書、三人以上共同犯詐欺取財及洗錢等罪
製造少年為猥褻行為之電子訊號罪,2,,製造少年為猥褻行為之電子訊號罪 | 製造少年為猥褻行為之電子訊號罪及刑法第227條第3項對於14歲以上未滿16歲之女子為性交罪
在公眾得出入場所聚集三人以上下手實施強暴罪與同法第277條第1項之傷害罪,2,,後段之在公眾得出入場所聚集三人以上下手實施強暴罪與同法第277條第1項之傷害罪
變造會計憑證罪,2,,變造會計憑證罪 | 商業會計法第七十一條第三款之變造會計憑證罪
無駕駛執照駕車因過失傷害人罪,2,,無駕駛執照駕車因過失傷害人罪
罪（下稱本罪,2,是,罪（下稱本罪
罪所得之本質、來源、去向、所在、所有權、處分權或其他權益者為其犯罪,2,是,罪所得之本質、來源、去向、所在、所有權、處分權或其他權益者為其犯罪
）無償提供合計未達3個帳戶或帳號之行為人免除一般洗錢罪,2,,）無償提供合計未達3個帳戶或帳號之行為人免除一般洗錢罪
如附表罪,2,是,如附表罪
高買低賣證券罪,2,,證券交易法第一百七十一條第一項第一款之高買低賣證券罪
罪組織、招募他人加入犯罪,2,是,罪組織、招募他人加入犯罪
）第1項之罪,2,,前條（按即刑法第302條）第1項之罪
妨害自由罪,2,,行合與修正後新增訂之「三人以上並攜帶兇器共同犯刑法第302條第1項之妨害自由罪
第4條、第6條、第6條之一之罪,2,,第4條、第6條、第6條之一之罪
關係：被告就111年度偵字第26703號起訴書犯罪,2,,關係：被告就111年度偵字第26703號起訴書犯罪
：組織犯罪,2,,：組織犯罪
增訂招募他人加入犯罪,2,,罪防制條例第4條第1項增訂招募他人加入犯罪
加重詐欺取財及非法剝奪他人行動自由罪,2,,加重詐欺取財及非法剝奪他人行動自由罪
此部分罪,2,,此部分罪
附表編號3施用第二級毒品罪,2,是,附表編號3施用第二級毒品罪
附表編號1、2部分均為加重詐欺取財罪,2,是,附表編號1、2部分均為加重詐欺取財罪
附表編號1、2加重詐欺取財罪,2,是,附表編號1、2加重詐欺取財罪
罪所用部分：按供犯罪,2,是,罪所用部分：按供犯罪
罪所得部分：按犯罪,2,是,罪所得部分：按犯罪
中段之參與犯罪組織罪,2,,中段之參與犯罪組織罪
如附表六「罪,2,是,如附表六「罪
如附表二編號1至2主文欄所示之貳罪,2,是,如附表二編號1至2主文欄所示之貳罪
汽車駕駛人未領有駕駛執照駕車、行近行人穿越道不依規定讓行人優先通行過失傷害罪,2,,汽車駕駛人未領有駕駛執照駕車、行近行人穿越道不依規定讓行人優先通行過失傷害罪
行所犯數罪,2,,行所犯數罪
罪前案紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、所陳犯罪,2,是,罪前案紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、所陳犯罪
侵占脫離本人持有之物罪,2,,侵占脫離本人持有之物罪
為死刑、無期徒刑、最輕本刑為3年以上有期徒刑之罪,2,,為死刑、無期徒刑、最輕本刑為3年以上有期徒刑之罪
非公務機關非法蒐集處理個人資料罪,2,,違反同法第19條之非公務機關非法蒐集處理個人資料罪 | 非公務機關非法蒐集處理個人資料罪
駕駛動力交通工具而有吐氣所含酒精濃度達每公升0.25毫克以上情形之罪,2,,駕駛動力交通工具而有吐氣所含酒精濃度達每公升0.25毫克以上情形之罪
攜帶凶器跟蹤騷擾罪,2,,攜帶凶器跟蹤騷擾罪
販賣侵害商標權商品罪,2,,販賣侵害商標權商品罪 | 商標法第九十七條之販賣侵害商標權商品罪
傷害致重傷罪,2,,傷害致重傷罪
附表編號1至6「罪,2,是,附表編號1至6「罪
之妨害公眾往來安全罪,2,,之妨害公眾往來安全罪及刑法第305條之恐嚇危害安全罪 | 之妨害公眾往來安全罪及刑法第304條之強制罪
放火燒燬他人所有物致生公共危險罪,2,,放火燒燬他人所有物致生公共危險罪
業務上登載不實文書罪,2,,業務上登載不實文書罪
論以一罪,2,,論以一罪
洗錢罪（共67罪,2,,洗錢罪（共67罪
施用毒品罪,2,,施用毒品罪
罪前案紀錄之素行（卷附臺灣高等法院被告前案紀錄表）、犯罪,2,是,罪前案紀錄之素行（卷附臺灣高等法院被告前案紀錄表）、犯罪
毀越門竊盜罪,2,,毀越門竊盜罪
、集合犯仍為一罪,2,,、集合犯仍為一罪
散布文字圖畫誹謗罪,2,,散布文字圖畫誹謗罪
毀損安全設備侵入住宅竊盜罪,2,,毀損安全設備侵入住宅竊盜罪 | 毀損安全設備侵入住宅竊盜未遂罪
毀損他人之物罪,2,,毀損他人之物罪
透過網路方式販賣侵害商標權商品罪,2,,商標法第九十七條後段之透過網路方式販賣侵害商標權商品罪
罪而坐享犯罪,2,是,罪而坐享犯罪
罪行為人實際犯罪,2,是,罪行為人實際犯罪
違反同法第20條第1項之非法利用個人資料罪,2,,加重誹謗罪及個人資料保護法第41條之違反同法第20條第1項之非法利用個人資料罪
失火燒毀物品罪,2,,失火燒毀物品罪
論處之幫助洗錢罪,2,,幫助隱匿特定犯罪所得之去向而依同法第14條第1項論處之幫助洗錢罪 | 論處之幫助洗錢罪
規定：「犯前2條之罪,2,,規定：「犯前2條之罪
非法輸入醫療器材罪,2,,非法輸入醫療器材罪及同條第2項之販賣非法輸入之醫療器材罪 | 非法輸入醫療器材罪
販賣非法輸入之醫療器材罪,2,,醫療器材管理法第六十二條第二項之販賣非法輸入之醫療器材罪
毀損安全設備竊盜罪,2,,毀損安全設備竊盜罪
、第210條、第220條第2項之行使偽造準私文書罪,2,,刑法第216條、第210條、第220條第2項之行使偽造準私文書罪
填載不實會計憑證罪,2,,幫助犯填載不實會計憑證罪 | 填載不實會計憑證罪
成年人故意對少年犯傷害罪,2,,成年人故意對少年犯傷害罪
行間具有想像競合犯之裁判上一罪,2,,行間具有想像競合犯之裁判上一罪
行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同犯詐欺取財及洗錢等罪,2,,行所犯上開行使偽造私文書、行使偽造特種文書、三人以上共同犯詐欺取財及洗錢等罪
規定利用個人資料罪,2,,違反同法第20條第1項規定利用個人資料罪
意圖販賣而輸入侵害商標權之商品罪,2,,意圖販賣而輸入侵害商標權之商品罪 | 商標法第九十七條意圖販賣而輸入侵害商標權之商品罪
明知為不實之事項而填製會計憑證罪,2,,明知為不實之事項而填製會計憑證罪
附表編號1至14「罪,2,是,附表編號1至14「罪
法條欄記載被告就附表編號10部分犯行記載被告犯加重詐欺欺取財既遂罪,2,是,法條欄記載被告就附表編號10部分犯行記載被告犯加重詐欺欺取財既遂罪
行為為罪,2,,行為為未遂罪
規定加重說明：查被告前因犯不能安全駕駛之公共危險罪,2,,規定加重說明：查被告前因犯不能安全駕駛之公共危險罪
、第339條第3項第1項之幫助詐欺取財罪,2,,刑法第30條第1項前段、第339條第3項第1項之幫助詐欺取財未遂罪
結夥三人以上攜帶兇器強盜得利罪,2,,結夥三人以上攜帶兇器強盜得利罪
妨害職務執行罪,2,,妨害職務執行罪及同法第70條之當場侮辱罪 | 陸海空軍刑法第六十七條第一項之妨害職務執行罪
當場侮辱罪,2,,妨害職務執行罪及同法第70條之當場侮辱罪 | 陸海空軍刑法第七十條之當場侮辱罪
而僅論以一罪,2,,而僅論以一罪
夜間非法攜帶刀械罪,2,,夜間非法攜帶刀械罪
如附表一編號1至4、附表二編號1至21所示各罪,2,是,如附表一編號1至4、附表二編號1至21所示各罪
罪或與之共同實施犯罪,2,是,罪或與之共同實施犯罪
詐欺取財既遂罪,2,,詐欺取財既遂罪
擅自以公開傳輸方法侵害他人著作財產權罪,2,,擅自以公開傳輸方法侵害他人著作財產權罪
製造第二級毒品而混合二種以上毒品罪,2,,製造第二級毒品而混合二種以上毒品罪 | 幫助製造第二級毒品而混合二種以上毒品罪
行使變造公文書罪,2,,行使變造公文書罪
外國公司非法經營業務罪,2,,外國公司非法經營業務罪 | 公司法第三百七十一條第二項之外國公司非法經營業務罪
無故利用工具窺視他人非公開活動罪,2,,無故利用工具窺視他人非公開活動罪
無故取得他人電腦相關設備之電磁紀錄罪,2,,無故取得他人電腦相關設備之電磁紀錄罪 | 無故取得他人電腦相關設備之電磁紀錄罪及個人資料保護法第41條之違反同法第20條第1項之非公務機關非法利用個人資料罪
非法蒐集個人資料罪,2,,違反同法第6條第1項之非法蒐集個人資料罪及違反同法第19條第1項之非公務機關非法蒐集個人資料罪 | 個人資料保護法第四十一條之非法蒐集個人資料罪
使公司為不利益交易罪,2,,使公司為不利益交易罪
得承諾傷害本人成重傷罪,2,,後段之得承諾傷害本人成重傷罪 | 得承諾傷害本人成重傷罪
施用毒品致不能安全駕駛動力交通工具而駕駛罪,2,,施用毒品致不能安全駕駛動力交通工具而駕駛罪
毀越門扇竊盜罪,2,,毀越門扇竊盜罪
如附表一編號一至三所示參罪,2,是,如附表一編號一至三所示參罪
